"Timestamp","Participant number:","(1) Please recall and summarize the content of the video you watched as if explaining to a friend who is unfamiliar with the topic. (Please write as much as you can.)","(2) Researchers targeting mosquito species primarily focus on...","(3) The self-limiting gene introduced by Oxitec into A. aegypti mosquitoes aims at...","(4) In 2015, Oxitec, a British company, conducted mosquito-related experiments. What was the main objective of the experiments?","(5) Why male A. aegypti mosquitoes were particularly used in genetic modification experiments?","(6) What is the main focus of the experiments in controlling Aedes aegypti mosquitoes, and how does this method work? (Please write as much as you can.)"
"2024/08/11 12:39:11 PM GMT+8","P3","/","(C) killing harmful mosquito species.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(A) Because they pass on the self-limiting gene.","To prevent the mosquitoes from giving birth by editing their gene"
"2024/08/11 1:36:36 PM GMT+8","P2","Recorded","(C) killing harmful mosquito species.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(B) Because they don't bite humans.","The main focus is to develop male mosquitoes with self limiting genes which can limit the develop of new born mosquitoes into adults."
"2024/08/11 6:15:09 PM GMT+8","P1",".","(C) killing harmful mosquito species.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(B) Because they don't bite humans.","Injection of gene into the mosquitoes that prevents the offspring from growing into adults to eventually kill the population"
"2024/08/12 11:43:40 AM GMT+8","16","n/a","(C) killing harmful mosquito species.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(C) Because they are easy to gather.","The experiments aim to modify the genes of male mosquitoes so that their offsprings would die before they mature into adults."
"2024/08/13 12:05:56 PM GMT+8","P7","None","(C) killing harmful mosquito species.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(A) Because they pass on the self-limiting gene.","modifying male mosquitoes' gene to let them pass this self-limiting gene to their offsprings, which will make their offsprings die before turning to adults"
"2024/08/13 8:54:52 PM GMT+8","P8","None","(C) killing harmful mosquito species.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(B) Because they don't bite humans.","make modification for male mosquitoes and let their offspring cannot be adult. "
"2024/08/13 10:56:53 PM GMT+8","P4","NA","(C) killing harmful mosquito species.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(A) Because they pass on the self-limiting gene.","The experiment aims to reduce the numbers of Aedes aegypti mosquitoes to prevent disease. Scientists use gene editing techniques to produce some male mosquitoes self-limiting gene and let them come to natural environment to mate with other mosquitoes. Their offsprings can not become adults thus their ability of conving diseases are decreased."
"2024/08/14 10:31:29 AM GMT+8","P12","Aedes Aegypti Mosquitoes are the disease carriers. The several diseases are harmful to human if getting infected. The mosquitoes is affected by temperature and global warning. Despite the number of Aedes Aegypti Mosquitoes increases, the scientists think of way to elimate their numbers by infect the male mosquitoes with gene defect. The gene will affect the offsprings of these male mosquitoes by higher chance of dying before them growing into adult mosquitoes.","(B) taking care of the mosquito populations.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(A) Because they pass on the self-limiting gene.","The main focus is to plan the self-limiting gene to male mosquitoes. During the reproduction of the next generation, the baby mosquitoes will get the self-limiting gene that prevent them staying alive after the age of adults. This can limit the population of the mosquitoes in the long run. "
"2024/08/14 11:51:54 AM GMT+8","P6","NA","(C) killing harmful mosquito species.","(A) raising their reproduction rate.","(B) To adjust the diets of mosquito","(A) Because they pass on the self-limiting gene.","To modiify their gene or not. the method change its gene by control their diet."
"2024/08/14 11:57:26 AM GMT+8","P10","Mosquitoes is one of the most deadly animals, as it can carry and spread diseases, such as dengue fever, meningitis, and malaria.  One of the most famous species is Aedes Aegypti.  Scientists has tried many method of reducing population of A. Aegypti, which includes using genetically modifying the males to carry a gene that decreases chases of mosquitoes maturing into adulthood.","(B) taking care of the mosquito populations.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(B) Because they don't bite humans.","In order to prevent mosquitoes-borne illnesses, experiments were conducted in hopes of finding effective ways to control the population of mosquitoes, Aedes Aegypti especially.  One of the method utilizes genetic modification.  Only pregnant female mosquitoes' diet would require blood and therefore spread diseases when feeding.  So only males are used in the study. Lab-grown male A. Aegypti mosquitoes were released, expected to mate with the wild population.  Those males carries a gene that inhibits their offsprings maturing into adulthood.  In time, the population of wild A. Aegypti mosquitoes would decrease as a result."
"2024/08/14 3:41:28 PM GMT+8","P5","NA","(A) improving the habitats of mosquito.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(A) Because they pass on the self-limiting gene.","控制埃及蚊子的重点是通过改变基因，特别是改变雄性蚊子的基因。使得蚊子在交配后基因遗传给后代，导致基因的改变使得蚊子不能成长发育，无法传播疾病。"
"2024/08/14 4:07:09 PM GMT+8","11","N/A","(B) taking care of the mosquito populations.","(B) circumventing their offspring from developing into adults.","(C) To avoid the transmission of mosquito-borne disease","(A) Because they pass on the self-limiting gene.","focus：控制蚊子数量，控制被蚊子携带的病毒的传播
method：改变雄性蚊子的基因，使他们在野外和雌性蚊子交配生育下的下一代蚊子携带基因缺陷而无法生存到成年。"
"2024/08/14 6:53:37 PM GMT+8","P9","I can’t recall.","(C) killing harmful mosquito species.","(D) making them immune to diseases.","(C) To avoid the transmission of mosquito-borne disease","(A) Because they pass on the self-limiting gene.","I don’t know."
"2024/08/14 9:07:41 PM GMT+8","P15","Mosquitoes may carry germs and bacteria","(C) killing harmful mosquito species.","(B) circumventing their offspring from developing into adults.","(D) To explore the behavior of mosquito in labs","(A) Because they pass on the self-limiting gene.","Modified the male and make the next generation unable to grow into adult,  in turns reduce in population"
